what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917452620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917453253
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917453982
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917456823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917457032
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311917460692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917462205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917477716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917478529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917507826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917513244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917516315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917522051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917536701
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917537006
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917537192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917537779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917538455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917540248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917542268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917551829
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917553224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917556196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917559558
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917559953
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917560195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917560973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917561329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917563011
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917564839
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1311917567250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917569697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917577420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917577872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917587667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917588481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917655153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917660393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917664238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917670376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917688291
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917688636
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917688829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917692666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917693410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917695658
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917698460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917703989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1311917705751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917706993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917709274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917710534
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917713417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917715896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917725781
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917727214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917730469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917734526
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917734917
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917735134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917736738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917737063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917739538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917740310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917747914
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917749697
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1311917752255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917753607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917756279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917762979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917770423
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1311917774213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917775640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917779000
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917779581
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917784379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917787674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917827844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917831607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917834723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917842526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917851199
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917851714
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917852186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917852919
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917853310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917855939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917856928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917864509
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917867228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917870312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917879156
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917879625
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917879987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917880754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917881183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917883075
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917885568
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1311917888586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917890778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917895065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917895507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917905156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917907821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917908552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917912186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917915758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917921330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917928100
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917928925
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917929190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917930119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917930557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917932456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917932868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917941224
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917942684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917945608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311917948240
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917948532
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1311917948799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1311917949511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1311917950260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1311917951967
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1311917954893
